Date,<TICKER>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Abadgaran,1800,1800,1800,1800,2592000000,1440000,1810,D,1800,1800
1,Abadgaran,1890,1890,1890,1890,491626800,260120,257,D,1800,1890
2,Abadgaran,1984,1984,1984,1984,2976000000,1500000,1227,D,1890,1984
3,Abadgaran,2083,2083,2083,2083,560735268,269196,198,D,1984,2083
4,Abadgaran,2187,2187,2060,2162,5781634832,2673786,1834,D,2083,2162
5,Abadgaran,2100,2270,2100,2262,2629635600,1162420,335,D,2162,2262
6,Abadgaran,2375,2375,2271,2317,3166883606,1366584,371,D,2262,2317
7,Abadgaran,2361,2361,2231,2281,791954104,347088,227,D,2317,2281
8,Abadgaran,2288,2350,2222,2293,2522605232,1099893,238,D,2281,2293
9,Abadgaran,2301,2392,2300,2338,2685725061,1148484,272,D,2293,2338
10,Abadgaran,2300,2300,2243,2295,680700809,296570,99,D,2338,2295
11,Abadgaran,2265,2302,2250,2266,190512884,84067,59,D,2295,2266
12,Abadgaran,2300,2379,2300,2359,410973728,174206,78,D,2266,2359
13,Abadgaran,2476,2476,2476,2476,143419824,57924,34,D,2359,2476
14,Abadgaran,2599,2599,2599,2599,110483490,42510,15,D,2476,2599
15,Abadgaran,2728,2728,2611,2712,1198460594,441861,161,D,2599,2712
16,Abadgaran,2710,2729,2577,2652,474120249,178747,92,D,2712,2652
17,Abadgaran,2520,2574,2520,2574,59585940,23645,13,D,2652,2574
18,Abadgaran,2446,2510,2446,2450,254702992,103932,70,D,2574,2450
19,Abadgaran,2328,2400,2328,2347,316520283,134817,68,D,2450,2347
20,Abadgaran,2326,2365,2300,2343,290333176,123877,60,D,2347,2343
21,Abadgaran,2460,2460,2355,2420,75678140,30974,15,D,2343,2420
22,Abadgaran,2541,2541,2520,2540,622690352,245132,86,D,2420,2540
23,Abadgaran,2667,2667,2542,2623,793687653,302552,111,D,2540,2623
24,Abadgaran,2679,2700,2612,2651,374066135,141090,55,D,2623,2651
25,Abadgaran,2650,2650,2590,2608,437971665,167889,52,D,2651,2608
26,Abadgaran,2639,2640,2604,2623,88427949,33653,21,D,2608,2623
27,Abadgaran,2630,2647,2601,2626,293001865,111572,56,D,2623,2626
28,Abadgaran,2635,2757,2603,2683,18638422057,7076749,94,D,2626,2683
29,Abadgaran,2817,2817,2817,2817,405878994,144082,43,D,2683,2817
30,Abadgaran,2826,2957,2720,2891,994938147,344037,99,D,2817,2891
31,Abadgaran,2891,2940,2763,2865,889848952,310590,83,D,2891,2865
